opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,distancia_camino,cant_mejoras,tiempo_swap,vecinos_prom
1,0,10,1,42,30,867685.000000,223932.000000,56769.376618,6279339.000000,54889.736666,7,6121301.000000,3634
1,0,10,1,42,30,867685.000000,218366.000000,56769.376618,5696848.000000,54889.736666,7,5577715.000000,3634
1,0,10,1,42,30,867685.000000,226631.000000,56769.376618,5224171.000000,54889.736666,7,5133362.000000,3634
1,0,10,1,42,30,867685.000000,224506.000000,56769.376618,5197422.000000,54889.736666,7,5129999.000000,3634
1,0,10,1,42,30,867685.000000,211361.000000,56769.376618,5246516.000000,54889.736666,7,5160332.000000,3634
1,0,10,1,42,30,867685.000000,216407.000000,56769.376618,5212721.000000,54889.736666,7,5120308.000000,3634
1,0,10,1,42,30,867685.000000,218531.000000,56769.376618,5370044.000000,54889.736666,7,5269335.000000,3634
1,0,10,1,42,30,867685.000000,226206.000000,56769.376618,5302395.000000,54889.736666,7,5197482.000000,3634
1,0,10,1,42,30,867685.000000,219071.000000,56769.376618,5218507.000000,54889.736666,7,5153963.000000,3634
1,0,10,1,42,30,867685.000000,211391.000000,56769.376618,5217077.000000,54889.736666,7,5137193.000000,3634
1,1,10,1,42,30,228901.000000,218487.000000,56769.376618,110968.000000,56769.376618,0,41984.000000,1
1,1,10,1,42,30,228901.000000,212497.000000,56769.376618,107608.000000,56769.376618,0,41634.000000,1
1,1,10,1,42,30,228901.000000,210792.000000,56769.376618,99148.000000,56769.376618,0,41499.000000,1
1,1,10,1,42,30,228901.000000,210507.000000,56769.376618,99038.000000,56769.376618,0,41504.000000,1
1,1,10,1,42,30,228901.000000,211232.000000,56769.376618,99093.000000,56769.376618,0,41484.000000,1
1,1,10,1,42,30,228901.000000,210822.000000,56769.376618,98498.000000,56769.376618,0,41444.000000,1
1,1,10,1,42,30,228901.000000,209867.000000,56769.376618,98733.000000,56769.376618,0,41474.000000,1
1,1,10,1,42,30,228901.000000,217846.000000,56769.376618,99314.000000,56769.376618,0,41464.000000,1
1,1,10,1,42,30,228901.000000,210331.000000,56769.376618,98594.000000,56769.376618,0,41424.000000,1
1,1,10,1,42,30,228901.000000,209806.000000,56769.376618,98464.000000,56769.376618,0,41459.000000,1
1,0,20,3,72,30,406818.000000,629649.000000,81721.383529,45886312.000000,66947.636728,34,45736624.000000,26262
1,0,20,3,72,30,406818.000000,716528.000000,81721.383529,37594297.000000,66947.636728,34,37447710.000000,26262
1,0,20,3,72,30,406818.000000,591800.000000,81721.383529,37406935.000000,66947.636728,34,37305638.000000,26262
1,0,20,3,72,30,406818.000000,584795.000000,81721.383529,44230886.000000,66947.636728,34,44101773.000000,26262
1,0,20,3,72,30,406818.000000,582645.000000,81721.383529,37380231.000000,66947.636728,34,37281693.000000,26262
1,0,20,3,72,30,406818.000000,574645.000000,81721.383529,37358527.000000,66947.636728,34,37259789.000000,26262
1,0,20,3,72,30,406818.000000,575335.000000,81721.383529,37500589.000000,66947.636728,34,37395218.000000,26262
1,0,20,3,72,30,406818.000000,575460.000000,81721.383529,37373362.000000,66947.636728,34,37278868.000000,26262
1,0,20,3,72,30,406818.000000,574861.000000,81721.383529,37372936.000000,66947.636728,34,37279388.000000,26262
1,0,20,3,72,30,406818.000000,574395.000000,81721.383529,37547693.000000,66947.636728,34,37439175.000000,26262
1,1,20,3,72,30,404948.000000,626670.000000,81721.383529,241551.000000,81721.383529,0,144358.000000,7
1,1,20,3,72,30,404948.000000,574620.000000,81721.383529,234796.000000,81721.383529,0,144202.000000,7
1,1,20,3,72,30,404948.000000,575675.000000,81721.383529,228532.000000,81721.383529,0,143813.000000,7
1,1,20,3,72,30,404948.000000,574921.000000,81721.383529,228251.000000,81721.383529,0,143788.000000,7
1,1,20,3,72,30,404948.000000,574565.000000,81721.383529,227591.000000,81721.383529,0,144042.000000,7
1,1,20,3,72,30,404948.000000,585115.000000,81721.383529,228066.000000,81721.383529,0,143777.000000,7
1,1,20,3,72,30,404948.000000,573345.000000,81721.383529,226896.000000,81721.383529,0,143648.000000,7
1,1,20,3,72,30,404948.000000,576135.000000,81721.383529,228446.000000,81721.383529,0,143958.000000,7
1,1,20,3,72,30,404948.000000,573560.000000,81721.383529,236811.000000,81721.383529,0,152332.000000,7
1,1,20,3,72,30,404948.000000,574526.000000,81721.383529,227091.000000,81721.383529,0,143848.000000,7
1,0,30,7,117,30,619355.000000,1510460.000000,122778.321418,273146093.000000,109212.274762,84,272907537.000000,184878
1,0,30,7,117,30,619355.000000,1461500.000000,122778.321418,265249611.000000,109212.274762,84,265072520.000000,184878
1,0,30,7,117,30,619355.000000,1461410.000000,122778.321418,265526662.000000,109212.274762,84,265351694.000000,184878
1,0,30,7,117,30,619355.000000,1470200.000000,122778.321418,265349900.000000,109212.274762,84,265184262.000000,184878
1,0,30,7,117,30,619355.000000,1460475.000000,122778.321418,265766288.000000,109212.274762,84,265593771.000000,184878
1,0,30,7,117,30,619355.000000,1470575.000000,122778.321418,265432401.000000,109212.274762,84,265273034.000000,184878
1,0,30,7,117,30,619355.000000,1465760.000000,122778.321418,266302904.000000,109212.274762,84,266125816.000000,184878
1,0,30,7,117,30,619355.000000,1460305.000000,122778.321418,265256016.000000,109212.274762,84,265087394.000000,184878
1,0,30,7,117,30,619355.000000,1522929.000000,122778.321418,265667989.000000,109212.274762,84,265496937.000000,184878
1,0,30,7,117,30,619355.000000,1462405.000000,122778.321418,266235465.000000,109212.274762,84,266053828.000000,184878
1,1,30,7,117,30,638824.000000,1506414.000000,122778.321418,538716.000000,118575.261926,3,384489.000000,28
1,1,30,7,117,30,638824.000000,1464985.000000,122778.321418,513841.000000,118575.261926,3,383719.000000,28
1,1,30,7,117,30,638824.000000,1453800.000000,122778.321418,508727.000000,118575.261926,3,383653.000000,28
1,1,30,7,117,30,638824.000000,1453615.000000,122778.321418,505752.000000,118575.261926,3,383339.000000,28
1,1,30,7,117,30,638824.000000,1452985.000000,122778.321418,516201.000000,118575.261926,3,391568.000000,28
1,1,30,7,117,30,638824.000000,1453721.000000,122778.321418,507697.000000,118575.261926,3,383593.000000,28
1,1,30,7,117,30,638824.000000,1451851.000000,122778.321418,505591.000000,118575.261926,3,383309.000000,28
1,1,30,7,117,30,638824.000000,1453345.000000,122778.321418,505097.000000,118575.261926,3,382613.000000,28
