opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,distancia_camino,cant_mejoras,tiempo_swap,vecinos_prom,largo
1,0,10,0,96,30,517298.000000,813729.000000,9396.542266,9806512.000000,7997.268085,15,9661000.000000,6766,56
1,0,10,0,96,30,517298.000000,562976.000000,9396.542266,9591711.000000,7997.268085,15,9514622.000000,6766,56
1,0,10,0,96,30,517298.000000,556155.000000,9396.542266,9488235.000000,7997.268085,15,9421471.000000,6766,56
1,0,10,0,96,30,517298.000000,555150.000000,9396.542266,9555379.000000,7997.268085,15,9487735.000000,6766,56
1,0,10,0,96,30,517298.000000,554440.000000,9396.542266,9550308.000000,7997.268085,15,9483374.000000,6766,56
1,0,10,0,96,30,517298.000000,554380.000000,9396.542266,9599911.000000,7997.268085,15,9532408.000000,6766,56
1,0,10,0,96,30,517298.000000,553816.000000,9396.542266,9487445.000000,7997.268085,15,9422632.000000,6766,56
1,0,10,0,96,30,517298.000000,561350.000000,9396.542266,12602694.000000,7997.268085,15,12505609.000000,6766,56
1,0,10,0,96,30,517298.000000,569801.000000,9396.542266,11089147.000000,7997.268085,15,10966526.000000,6766,56
1,0,10,0,96,30,517298.000000,567040.000000,9396.542266,10320940.000000,7997.268085,15,10165796.000000,6766,56
1,1,10,0,96,30,429819.000000,589692.000000,9396.542266,155408.000000,9396.542266,0,49743.000000,0,56
1,1,10,0,96,30,429819.000000,571126.000000,9396.542266,119851.000000,9396.542266,0,49867.000000,0,56
1,1,10,0,96,30,429819.000000,559785.000000,9396.542266,814249.000000,9396.542266,0,49767.000000,0,56
1,1,10,0,96,30,429819.000000,3224225.000000,9396.542266,134272.000000,9396.542266,0,50343.000000,0,56
1,1,10,0,96,30,429819.000000,565836.000000,9396.542266,126772.000000,9396.542266,0,49673.000000,0,56
1,1,10,0,96,30,429819.000000,561475.000000,9396.542266,109576.000000,9396.542266,0,49283.000000,0,56
1,1,10,0,96,30,429819.000000,554765.000000,9396.542266,110671.000000,9396.542266,0,49683.000000,0,56
1,1,10,0,96,30,429819.000000,554560.000000,9396.542266,108726.000000,9396.542266,0,49218.000000,0,56
1,1,10,0,96,30,429819.000000,553630.000000,9396.542266,110286.000000,9396.542266,0,49268.000000,0,56
1,1,10,0,96,30,429819.000000,555410.000000,9396.542266,122657.000000,9396.542266,0,49428.000000,0,56
1,0,20,2,204,30,911564.000000,3032684.000000,17486.594389,72581074.000000,15989.294456,26,72415476.000000,50202,121
1,0,20,2,204,30,911564.000000,2431857.000000,17486.594389,71401635.000000,15989.294456,26,71249527.000000,50202,121
1,0,20,2,204,30,911564.000000,2427356.000000,17486.594389,71613277.000000,15989.294456,26,71465480.000000,50202,121
1,0,20,2,204,30,911564.000000,2416576.000000,17486.594389,71365434.000000,15989.294456,26,71238027.000000,50202,121
1,0,20,2,204,30,911564.000000,2412556.000000,17486.594389,71398981.000000,15989.294456,26,71279869.000000,50202,121
1,0,20,2,204,30,911564.000000,2413041.000000,17486.594389,71404555.000000,15989.294456,26,71276729.000000,50202,121
1,0,20,2,204,30,911564.000000,2411516.000000,17486.594389,71446423.000000,15989.294456,26,71307346.000000,50202,121
1,0,20,2,204,30,911564.000000,2431572.000000,17486.594389,71515866.000000,15989.294456,26,71364679.000000,50202,121
1,0,20,2,204,30,911564.000000,2421402.000000,17486.594389,71408871.000000,15989.294456,26,71269174.000000,50202,121
1,0,20,2,204,30,911564.000000,2417386.000000,17486.594389,71437813.000000,15989.294456,26,71317317.000000,50202,121
1,1,20,2,204,30,972583.000000,2415441.000000,17486.594389,346028.000000,17486.594389,0,221027.000000,2,121
1,1,20,2,204,30,972583.000000,2521456.000000,17486.594389,344274.000000,17486.594389,0,220552.000000,2,121
1,1,20,2,204,30,972583.000000,2441957.000000,17486.594389,317052.000000,17486.594389,0,219802.000000,2,121
1,1,20,2,204,30,972583.000000,2479604.000000,17486.594389,318847.000000,17486.594389,0,219772.000000,2,121
1,1,20,2,204,30,972583.000000,2410231.000000,17486.594389,317603.000000,17486.594389,0,219922.000000,2,121
1,1,20,2,204,30,972583.000000,2406340.000000,17486.594389,317148.000000,17486.594389,0,220297.000000,2,121
1,1,20,2,204,30,972583.000000,2414355.000000,17486.594389,318602.000000,17486.594389,0,221927.000000,2,121
1,1,20,2,204,30,972583.000000,2425667.000000,17486.594389,376100.000000,17486.594389,0,276925.000000,2,121
1,1,20,2,204,30,972583.000000,2419706.000000,17486.594389,319337.000000,17486.594389,0,221792.000000,2,121
1,1,20,2,204,30,972583.000000,2409215.000000,17486.594389,317527.000000,17486.594389,0,219792.000000,2,121
1,0,30,7,344,30,1533203.000000,6771143.000000,24139.708060,569220356.000000,22498.780317,56,568361550.000000,386178,201
1,0,30,7,344,30,1533203.000000,6743376.000000,24139.708060,552779415.000000,22498.780317,56,552570709.000000,386178,201
1,0,30,7,344,30,1533203.000000,6748561.000000,24139.708060,553204125.000000,22498.780317,56,553002190.000000,386178,201
1,0,30,7,344,30,1533203.000000,6751431.000000,24139.708060,552722975.000000,22498.780317,56,552527057.000000,386178,201
1,0,30,7,344,30,1533203.000000,6753595.000000,24139.708060,553077000.000000,22498.780317,56,552878056.000000,386178,201
1,0,30,7,344,30,1533203.000000,6737599.000000,24139.708060,560479555.000000,22498.780317,56,560280950.000000,386178,201
1,0,30,7,344,30,1533203.000000,6763800.000000,24139.708060,552746435.000000,22498.780317,56,552551220.000000,386178,201
1,0,30,7,344,30,1533203.000000,6745874.000000,24139.708060,553093996.000000,22498.780317,56,552897921.000000,386178,201
1,0,30,7,344,30,1533203.000000,6745704.000000,24139.708060,552571006.000000,22498.780317,56,552379819.000000,386178,201
1,0,30,7,344,30,1533203.000000,6741369.000000,24139.708060,552687977.000000,22498.780317,56,552496201.000000,386178,201
1,1,30,7,344,30,1476115.000000,6739694.000000,24139.708060,752621.000000,24139.708060,0,586847.000000,7,201
1,1,30,7,344,30,1476115.000000,6763844.000000,24139.708060,761051.000000,24139.708060,0,604768.000000,7,201
1,1,30,7,344,30,1476115.000000,6739468.000000,24139.708060,735250.000000,24139.708060,0,586552.000000,7,201
1,1,30,7,344,30,1476115.000000,6729123.000000,24139.708060,733734.000000,24139.708060,0,586622.000000,7,201
1,1,30,7,344,30,1476115.000000,6738138.000000,24139.708060,742705.000000,24139.708060,0,593647.000000,7,201
1,1,30,7,344,30,1476115.000000,6751809.000000,24139.708060,735925.000000,24139.708060,0,586566.000000,7,201
1,1,30,7,344,30,1476115.000000,6730053.000000,24139.708060,733664.000000,24139.708060,0,586347.000000,7,201
1,1,30,7,344,30,1476115.000000,6735048.000000,24139.708060,743310.000000,24139.708060,0,593912.000000,7,201
1,1,30,7,344,30,1476115.000000,6732078.000000,24139.708060,746600.000000,24139.708060,0,587007.000000,7,201
1,1,30,7,344,30,1476115.000000,6744129.000000,24139.708060,735385.000000,24139.708060,0,586567.000000,7,201
1,0,40,11,444,30,1851054.000000,11234056.000000,33478.517393,1022740767.000000,31813.903344,78,1022408759.000000,695230,261
1,0,40,11,444,30,1851054.000000,11199573.000000,33478.517393,996567167.000000,31813.903344,78,996295312.000000,695230,261
1,0,40,11,444,30,1851054.000000,11210008.000000,33478.517393,997183135.000000,31813.903344,78,996921487.000000,695230,261
1,0,40,11,444,30,1851054.000000,11229443.000000,33478.517393,995927500.000000,31813.903344,78,995675995.000000,695230,261
1,0,40,11,444,30,1851054.000000,11164199.000000,33478.517393,997301240.000000,31813.903344,78,997037652.000000,695230,261
1,0,40,11,444,30,1851054.000000,11156638.000000,33478.517393,997059842.000000,31813.903344,78,996804539.000000,695230,261
1,0,40,11,444,30,1851054.000000,11273639.000000,33478.517393,995768875.000000,31813.903344,78,995513342.000000,695230,261
1,0,40,11,444,30,1851054.000000,11205284.000000,33478.517393,995659660.000000,31813.903344,78,995410618.000000,695230,261
1,0,40,11,444,30,1851054.000000,11248916.000000,33478.517393,1018085600.000000,31813.903344,78,1017811077.000000,695230,261
1,0,40,11,444,30,1851054.000000,11278152.000000,33478.517393,996164699.000000,31813.903344,78,995895354.000000,695230,261
1,1,40,11,444,30,2003367.000000,11176636.000000,33478.517393,1244201.000000,33478.517393,0,1009248.000000,17,261
1,1,40,11,444,30,2003367.000000,11598978.000000,33478.517393,1204519.000000,33478.517393,0,997823.000000,17,261
