opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,distancia_camino,cant_mejoras,tiempo_swap,vecinos_prom
1,0,10,2,186,30,550000.000000,460000.000000,37487.090248,5867000.000000,36822.117891,9,5817000.000000,13610
1,0,10,2,186,30,550000.000000,556000.000000,37487.090248,5984000.000000,36822.117891,9,5927000.000000,13610
1,0,10,2,186,30,550000.000000,454000.000000,37487.090248,5860000.000000,36822.117891,9,5816000.000000,13610
1,0,10,2,186,30,550000.000000,450000.000000,37487.090248,5850000.000000,36822.117891,9,5811000.000000,13610
1,0,10,2,186,30,550000.000000,450000.000000,37487.090248,9899000.000000,36822.117891,9,9843000.000000,13610
1,0,10,2,186,30,550000.000000,600000.000000,37487.090248,9048000.000000,36822.117891,9,8945000.000000,13610
1,0,10,2,186,30,550000.000000,470000.000000,37487.090248,7614000.000000,36822.117891,9,7525000.000000,13610
1,0,10,2,186,30,550000.000000,742000.000000,37487.090248,6239000.000000,36822.117891,9,6135000.000000,13610
1,0,10,2,186,30,550000.000000,458000.000000,37487.090248,7475000.000000,36822.117891,9,7412000.000000,13610
1,0,10,2,186,30,550000.000000,458000.000000,37487.090248,8630000.000000,36822.117891,9,8550000.000000,13610
1,1,10,2,186,30,657000.000000,520000.000000,37487.090248,106000.000000,37487.090248,0,42000.000000,2
1,1,10,2,186,30,657000.000000,485000.000000,37487.090248,92000.000000,37487.090248,0,42000.000000,2
1,1,10,2,186,30,657000.000000,483000.000000,37487.090248,84000.000000,37487.090248,0,42000.000000,2
1,1,10,2,186,30,657000.000000,482000.000000,37487.090248,93000.000000,37487.090248,0,52000.000000,2
1,1,10,2,186,30,657000.000000,493000.000000,37487.090248,97000.000000,37487.090248,0,40000.000000,2
1,1,10,2,186,30,657000.000000,456000.000000,37487.090248,83000.000000,37487.090248,0,40000.000000,2
1,1,10,2,186,30,657000.000000,453000.000000,37487.090248,80000.000000,37487.090248,0,39000.000000,2
1,1,10,2,186,30,657000.000000,453000.000000,37487.090248,78000.000000,37487.090248,0,39000.000000,2
1,1,10,2,186,30,657000.000000,450000.000000,37487.090248,77000.000000,37487.090248,0,39000.000000,2
1,1,10,2,186,30,657000.000000,450000.000000,37487.090248,78000.000000,37487.090248,0,39000.000000,2
1,0,10,1,174,30,518000.000000,412000.000000,39922.335668,5539000.000000,39021.550992,12,5459000.000000,12467
1,0,10,1,174,30,518000.000000,408000.000000,39922.335668,5431000.000000,39021.550992,12,5382000.000000,12467
1,0,10,1,174,30,518000.000000,406000.000000,39922.335668,7390000.000000,39021.550992,12,7302000.000000,12467
1,0,10,1,174,30,518000.000000,411000.000000,39922.335668,6042000.000000,39021.550992,12,5962000.000000,12467
1,0,10,1,174,30,518000.000000,408000.000000,39922.335668,5385000.000000,39021.550992,12,5337000.000000,12467
1,0,10,1,174,30,518000.000000,406000.000000,39922.335668,5393000.000000,39021.550992,12,5348000.000000,12467
1,0,10,1,174,30,518000.000000,404000.000000,39922.335668,5352000.000000,39021.550992,12,5311000.000000,12467
1,0,10,1,174,30,518000.000000,403000.000000,39922.335668,5354000.000000,39021.550992,12,5317000.000000,12467
1,0,10,1,174,30,518000.000000,404000.000000,39922.335668,5350000.000000,39021.550992,12,5309000.000000,12467
1,0,10,1,174,30,518000.000000,402000.000000,39922.335668,5349000.000000,39021.550992,12,5310000.000000,12467
1,1,10,1,174,30,554000.000000,441000.000000,39922.335668,89000.000000,39922.335668,0,39000.000000,1
1,1,10,1,174,30,554000.000000,408000.000000,39922.335668,75000.000000,39922.335668,0,36000.000000,1
1,1,10,1,174,30,554000.000000,403000.000000,39922.335668,74000.000000,39922.335668,0,35000.000000,1
1,1,10,1,174,30,554000.000000,402000.000000,39922.335668,73000.000000,39922.335668,0,36000.000000,1
1,1,10,1,174,30,554000.000000,401000.000000,39922.335668,73000.000000,39922.335668,0,36000.000000,1
1,1,10,1,174,30,554000.000000,402000.000000,39922.335668,73000.000000,39922.335668,0,36000.000000,1
1,1,10,1,174,30,554000.000000,401000.000000,39922.335668,73000.000000,39922.335668,0,36000.000000,1
1,1,10,1,174,30,554000.000000,403000.000000,39922.335668,73000.000000,39922.335668,0,36000.000000,1
1,1,10,1,174,30,554000.000000,408000.000000,39922.335668,78000.000000,39922.335668,0,36000.000000,1
1,1,10,1,174,30,554000.000000,405000.000000,39922.335668,73000.000000,39922.335668,0,36000.000000,1
1,0,10,1,159,30,478000.000000,338000.000000,42519.976854,1545000.000000,38093.558397,7,1508000.000000,3561
1,0,10,1,159,30,478000.000000,329000.000000,42519.976854,1541000.000000,38093.558397,7,1507000.000000,3561
1,0,10,1,159,30,478000.000000,330000.000000,42519.976854,1540000.000000,38093.558397,7,1507000.000000,3561
1,0,10,1,159,30,478000.000000,330000.000000,42519.976854,1601000.000000,38093.558397,7,1566000.000000,3561
1,0,10,1,159,30,478000.000000,330000.000000,42519.976854,1540000.000000,38093.558397,7,1508000.000000,3561
1,0,10,1,159,30,478000.000000,331000.000000,42519.976854,1540000.000000,38093.558397,7,1506000.000000,3561
1,0,10,1,159,30,478000.000000,329000.000000,42519.976854,1542000.000000,38093.558397,7,1508000.000000,3561
1,0,10,1,159,30,478000.000000,329000.000000,42519.976854,3385000.000000,38093.558397,7,3296000.000000,3561
1,0,10,1,159,30,478000.000000,342000.000000,42519.976854,1599000.000000,38093.558397,7,1531000.000000,3561
1,0,10,1,159,30,478000.000000,337000.000000,42519.976854,2216000.000000,38093.558397,7,2167000.000000,3561
1,1,10,1,159,30,479000.000000,338000.000000,42519.976854,98000.000000,39761.456012,1,61000.000000,2
1,1,10,1,159,30,479000.000000,330000.000000,42519.976854,93000.000000,39761.456012,1,60000.000000,2
1,1,10,1,159,30,479000.000000,330000.000000,42519.976854,92000.000000,39761.456012,1,60000.000000,2
1,1,10,1,159,30,479000.000000,330000.000000,42519.976854,92000.000000,39761.456012,1,60000.000000,2
1,1,10,1,159,30,479000.000000,329000.000000,42519.976854,91000.000000,39761.456012,1,60000.000000,2
1,1,10,1,159,30,479000.000000,329000.000000,42519.976854,91000.000000,39761.456012,1,60000.000000,2
1,1,10,1,159,30,479000.000000,330000.000000,42519.976854,91000.000000,39761.456012,1,60000.000000,2
1,1,10,1,159,30,479000.000000,328000.000000,42519.976854,91000.000000,39761.456012,1,60000.000000,2
1,1,10,1,159,30,479000.000000,329000.000000,42519.976854,91000.000000,39761.456012,1,60000.000000,2
1,1,10,1,159,30,479000.000000,328000.000000,42519.976854,94000.000000,39761.456012,1,61000.000000,2
1,0,10,1,192,30,1009000.000000,645000.000000,38883.264807,2151000.000000,38747.811437,2,2074000.000000,4868
1,0,10,1,192,30,1009000.000000,493000.000000,38883.264807,2115000.000000,38747.811437,2,2074000.000000,4868
1,0,10,1,192,30,1009000.000000,536000.000000,38883.264807,2113000.000000,38747.811437,2,2072000.000000,4868
1,0,10,1,192,30,1009000.000000,487000.000000,38883.264807,2112000.000000,38747.811437,2,2072000.000000,4868
1,0,10,1,192,30,1009000.000000,486000.000000,38883.264807,2112000.000000,38747.811437,2,2073000.000000,4868
1,0,10,1,192,30,1009000.000000,485000.000000,38883.264807,2113000.000000,38747.811437,2,2073000.000000,4868
1,0,10,1,192,30,1009000.000000,484000.000000,38883.264807,2318000.000000,38747.811437,2,2221000.000000,4868
1,0,10,1,192,30,1009000.000000,492000.000000,38883.264807,2941000.000000,38747.811437,2,2868000.000000,4868
1,0,10,1,192,30,1009000.000000,491000.000000,38883.264807,2119000.000000,38747.811437,2,2074000.000000,4868
1,0,10,1,192,30,1009000.000000,492000.000000,38883.264807,2875000.000000,38747.811437,2,2809000.000000,4868
1,1,10,1,192,30,568000.000000,496000.000000,38883.264807,91000.000000,38883.264807,0,42000.000000,1
1,1,10,1,192,30,568000.000000,486000.000000,38883.264807,82000.000000,38883.264807,0,42000.000000,1
1,1,10,1,192,30,568000.000000,486000.000000,38883.264807,81000.000000,38883.264807,0,41000.000000,1
1,1,10,1,192,30,568000.000000,487000.000000,38883.264807,80000.000000,38883.264807,0,41000.000000,1
1,1,10,1,192,30,568000.000000,485000.000000,38883.264807,80000.000000,38883.264807,0,41000.000000,1
1,1,10,1,192,30,568000.000000,486000.000000,38883.264807,81000.000000,38883.264807,0,42000.000000,1
1,1,10,1,192,30,568000.000000,487000.000000,38883.264807,79000.000000,38883.264807,0,42000.000000,1
1,1,10,1,192,30,568000.000000,530000.000000,38883.264807,85000.000000,38883.264807,0,41000.000000,1
1,1,10,1,192,30,568000.000000,486000.000000,38883.264807,81000.000000,38883.264807,0,41000.000000,1
1,1,10,1,192,30,568000.000000,487000.000000,38883.264807,80000.000000,38883.264807,0,42000.000000,1
1,0,10,0,144,30,438000.000000,292000.000000,36602.671538,3355000.000000,35819.231183,13,3316000.000000,7776
1,0,10,0,144,30,438000.000000,283000.000000,36602.671538,3791000.000000,35819.231183,13,3704000.000000,7776
1,0,10,0,144,30,438000.000000,557000.000000,36602.671538,4718000.000000,35819.231183,13,4638000.000000,7776
1,0,10,0,144,30,438000.000000,325000.000000,36602.671538,5780000.000000,35819.231183,13,5677000.000000,7776
1,0,10,0,144,30,438000.000000,330000.000000,36602.671538,4160000.000000,35819.231183,13,4066000.000000,7776
1,0,10,0,144,30,438000.000000,286000.000000,36602.671538,3385000.000000,35819.231183,13,3342000.000000,7776
1,0,10,0,144,30,438000.000000,334000.000000,36602.671538,3836000.000000,35819.231183,13,3757000.000000,7776
1,0,10,0,144,30,438000.000000,305000.000000,36602.671538,3484000.000000,35819.231183,13,3445000.000000,7776
1,0,10,0,144,30,438000.000000,283000.000000,36602.671538,3350000.000000,35819.231183,13,3316000.000000,7776
1,0,10,0,144,30,438000.000000,281000.000000,36602.671538,3348000.000000,35819.231183,13,3314000.000000,7776
1,1,10,0,144,30,445000.000000,291000.000000,36602.671538,64000.000000,36602.671538,0,27000.000000,0
1,1,10,0,144,30,445000.000000,283000.000000,36602.671538,59000.000000,36602.671538,0,26000.000000,0
1,1,10,0,144,30,445000.000000,284000.000000,36602.671538,58000.000000,36602.671538,0,27000.000000,0
1,1,10,0,144,30,445000.000000,281000.000000,36602.671538,58000.000000,36602.671538,0,26000.000000,0
1,1,10,0,144,30,445000.000000,282000.000000,36602.671538,58000.000000,36602.671538,0,27000.000000,0
1,1,10,0,144,30,445000.000000,281000.000000,36602.671538,58000.000000,36602.671538,0,26000.000000,0
1,1,10,0,144,30,445000.000000,282000.000000,36602.671538,57000.000000,36602.671538,0,27000.000000,0
1,1,10,0,144,30,445000.000000,283000.000000,36602.671538,57000.000000,36602.671538,0,27000.000000,0
1,1,10,0,144,30,445000.000000,281000.000000,36602.671538,57000.000000,36602.671538,0,27000.000000,0
1,1,10,0,144,30,445000.000000,282000.000000,36602.671538,57000.000000,36602.671538,0,26000.000000,0
1,0,20,5,360,30,1044000.000000,1664000.000000,63439.161146,38923000.000000,59953.266848,21,38806000.000000,81979
1,0,20,5,360,30,1044000.000000,1665000.000000,63439.161146,35239000.000000,59953.266848,21,35160000.000000,81979
1,0,20,5,360,30,1044000.000000,1658000.000000,63439.161146,38232000.000000,59953.266848,21,38162000.000000,81979
1,0,20,5,360,30,1044000.000000,1662000.000000,63439.161146,35249000.000000,59953.266848,21,35165000.000000,81979
1,0,20,5,360,30,1044000.000000,1670000.000000,63439.161146,36362000.000000,59953.266848,21,36281000.000000,81979
1,0,20,5,360,30,1044000.000000,1667000.000000,63439.161146,35374000.000000,59953.266848,21,35309000.000000,81979
1,0,20,5,360,30,1044000.000000,1665000.000000,63439.161146,37342000.000000,59953.266848,21,37271000.000000,81979
1,0,20,5,360,30,1044000.000000,1662000.000000,63439.161146,38330000.000000,59953.266848,21,38257000.000000,81979
1,0,20,5,360,30,1044000.000000,1699000.000000,63439.161146,35331000.000000,59953.266848,21,35265000.000000,81979
1,0,20,5,360,30,1044000.000000,1665000.000000,63439.161146,35994000.000000,59953.266848,21,35932000.000000,81979
1,1,20,5,360,30,1197000.000000,1725000.000000,63439.161146,227000.000000,63439.161146,0,151000.000000,5
1,1,20,5,360,30,1197000.000000,3905000.000000,63439.161146,263000.000000,63439.161146,0,177000.000000,5
1,1,20,5,360,30,1197000.000000,2228000.000000,63439.161146,225000.000000,63439.161146,0,150000.000000,5
1,1,20,5,360,30,1197000.000000,2883000.000000,63439.161146,221000.000000,63439.161146,0,151000.000000,5
1,1,20,5,360,30,1197000.000000,1669000.000000,63439.161146,484000.000000,63439.161146,0,229000.000000,5
1,1,20,5,360,30,1197000.000000,3298000.000000,63439.161146,356000.000000,63439.161146,0,222000.000000,5
1,1,20,5,360,30,1197000.000000,4139000.000000,63439.161146,417000.000000,63439.161146,0,269000.000000,5
1,1,20,5,360,30,1197000.000000,3154000.000000,63439.161146,329000.000000,63439.161146,0,206000.000000,5
