opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,distancia_camino,cant_mejoras,tiempo_swap,vecinos_prom
1,0,10,1,88,30,734000.000000,277000.000000,40195.891949,2311000.000000,38975.348678,9,2198000.000000,4599
1,0,10,1,88,30,734000.000000,172000.000000,40195.891949,2002000.000000,38975.348678,9,1962000.000000,4599
1,0,10,1,88,30,734000.000000,167000.000000,40195.891949,2113000.000000,38975.348678,9,2074000.000000,4599
1,0,10,1,88,30,734000.000000,169000.000000,40195.891949,2006000.000000,38975.348678,9,1970000.000000,4599
1,0,10,1,88,30,734000.000000,168000.000000,40195.891949,1994000.000000,38975.348678,9,1961000.000000,4599
1,0,10,1,88,30,734000.000000,166000.000000,40195.891949,1994000.000000,38975.348678,9,1961000.000000,4599
1,0,10,1,88,30,734000.000000,167000.000000,40195.891949,1996000.000000,38975.348678,9,1964000.000000,4599
1,0,10,1,88,30,734000.000000,166000.000000,40195.891949,1994000.000000,38975.348678,9,1963000.000000,4599
1,0,10,1,88,30,734000.000000,167000.000000,40195.891949,1993000.000000,38975.348678,9,1961000.000000,4599
1,0,10,1,88,30,734000.000000,166000.000000,40195.891949,2024000.000000,38975.348678,9,1984000.000000,4599
1,1,10,1,88,30,287000.000000,173000.000000,40195.891949,1825000.000000,40195.891949,0,32000.000000,1
1,1,10,1,88,30,287000.000000,182000.000000,40195.891949,68000.000000,40195.891949,0,25000.000000,1
1,1,10,1,88,30,287000.000000,169000.000000,40195.891949,58000.000000,40195.891949,0,25000.000000,1
1,1,10,1,88,30,287000.000000,174000.000000,40195.891949,62000.000000,40195.891949,0,24000.000000,1
1,1,10,1,88,30,287000.000000,167000.000000,40195.891949,56000.000000,40195.891949,0,24000.000000,1
1,1,10,1,88,30,287000.000000,164000.000000,40195.891949,56000.000000,40195.891949,0,24000.000000,1
1,1,10,1,88,30,287000.000000,165000.000000,40195.891949,56000.000000,40195.891949,0,24000.000000,1
1,1,10,1,88,30,287000.000000,165000.000000,40195.891949,56000.000000,40195.891949,0,24000.000000,1
1,1,10,1,88,30,287000.000000,1095000.000000,40195.891949,85000.000000,40195.891949,0,25000.000000,1
1,1,10,1,88,30,287000.000000,167000.000000,40195.891949,56000.000000,40195.891949,0,24000.000000,1
1,0,10,1,82,30,269000.000000,152000.000000,47016.903667,2756000.000000,42289.658053,21,2718000.000000,6405
1,0,10,1,82,30,269000.000000,148000.000000,47016.903667,2873000.000000,42289.658053,21,2817000.000000,6405
1,0,10,1,82,30,269000.000000,264000.000000,47016.903667,3281000.000000,42289.658053,21,3179000.000000,6405
1,0,10,1,82,30,269000.000000,151000.000000,47016.903667,2753000.000000,42289.658053,21,2719000.000000,6405
1,0,10,1,82,30,269000.000000,146000.000000,47016.903667,4337000.000000,42289.658053,21,4281000.000000,6405
1,0,10,1,82,30,269000.000000,172000.000000,47016.903667,3160000.000000,42289.658053,21,3120000.000000,6405
1,0,10,1,82,30,269000.000000,168000.000000,47016.903667,3118000.000000,42289.658053,21,3082000.000000,6405
1,0,10,1,82,30,269000.000000,157000.000000,47016.903667,2950000.000000,42289.658053,21,2919000.000000,6405
1,0,10,1,82,30,269000.000000,146000.000000,47016.903667,4957000.000000,42289.658053,21,4886000.000000,6405
1,0,10,1,82,30,269000.000000,160000.000000,47016.903667,2819000.000000,42289.658053,21,2738000.000000,6405
1,1,10,1,82,30,271000.000000,152000.000000,47016.903667,57000.000000,47016.903667,0,22000.000000,1
1,1,10,1,82,30,271000.000000,148000.000000,47016.903667,53000.000000,47016.903667,0,22000.000000,1
1,1,10,1,82,30,271000.000000,147000.000000,47016.903667,51000.000000,47016.903667,0,22000.000000,1
1,1,10,1,82,30,271000.000000,146000.000000,47016.903667,51000.000000,47016.903667,0,22000.000000,1
1,1,10,1,82,30,271000.000000,146000.000000,47016.903667,51000.000000,47016.903667,0,22000.000000,1
1,1,10,1,82,30,271000.000000,146000.000000,47016.903667,50000.000000,47016.903667,0,22000.000000,1
1,1,10,1,82,30,271000.000000,146000.000000,47016.903667,50000.000000,47016.903667,0,22000.000000,1
1,1,10,1,82,30,271000.000000,146000.000000,47016.903667,50000.000000,47016.903667,0,22000.000000,1
1,1,10,1,82,30,271000.000000,146000.000000,47016.903667,51000.000000,47016.903667,0,22000.000000,1
1,1,10,1,82,30,271000.000000,358000.000000,47016.903667,73000.000000,47016.903667,0,24000.000000,1
1,0,10,3,96,30,339000.000000,200000.000000,45610.263715,5640000.000000,40022.594235,19,5598000.000000,13178
1,0,10,3,96,30,339000.000000,194000.000000,45610.263715,7846000.000000,40022.594235,19,7790000.000000,13178
1,0,10,3,96,30,339000.000000,224000.000000,45610.263715,8222000.000000,40022.594235,19,8153000.000000,13178
1,0,10,3,96,30,339000.000000,213000.000000,45610.263715,6379000.000000,40022.594235,19,6306000.000000,13178
1,0,10,3,96,30,339000.000000,197000.000000,45610.263715,6448000.000000,40022.594235,19,6283000.000000,13178
1,0,10,3,96,30,339000.000000,210000.000000,45610.263715,6146000.000000,40022.594235,19,6105000.000000,13178
1,0,10,3,96,30,339000.000000,244000.000000,45610.263715,6207000.000000,40022.594235,19,6147000.000000,13178
1,0,10,3,96,30,339000.000000,195000.000000,45610.263715,5828000.000000,40022.594235,19,5785000.000000,13178
1,0,10,3,96,30,339000.000000,197000.000000,45610.263715,5635000.000000,40022.594235,19,5600000.000000,13178
1,0,10,3,96,30,339000.000000,194000.000000,45610.263715,5634000.000000,40022.594235,19,5600000.000000,13178
1,1,10,3,96,30,327000.000000,212000.000000,45610.263715,70000.000000,45610.263715,0,30000.000000,3
1,1,10,3,96,30,327000.000000,208000.000000,45610.263715,77000.000000,45610.263715,0,41000.000000,3
1,1,10,3,96,30,327000.000000,193000.000000,45610.263715,60000.000000,45610.263715,0,28000.000000,3
1,1,10,3,96,30,327000.000000,192000.000000,45610.263715,59000.000000,45610.263715,0,28000.000000,3
1,1,10,3,96,30,327000.000000,193000.000000,45610.263715,59000.000000,45610.263715,0,28000.000000,3
1,1,10,3,96,30,327000.000000,192000.000000,45610.263715,59000.000000,45610.263715,0,29000.000000,3
