opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,distancia_camino,cant_mejoras,tiempo_swap,vecinos_prom
1,0,10,1,118,30,342000.000000,289000.000000,10323.434443,3660000.000000,9611.369479,11,3611000.000000,8529
1,0,10,1,118,30,342000.000000,286000.000000,10323.434443,4252000.000000,9611.369479,11,4167000.000000,8529
1,0,10,1,118,30,342000.000000,376000.000000,10323.434443,3698000.000000,9611.369479,11,3626000.000000,8529
1,0,10,1,118,30,342000.000000,286000.000000,10323.434443,5386000.000000,9611.369479,11,5325000.000000,8529
1,0,10,1,118,30,342000.000000,287000.000000,10323.434443,4409000.000000,9611.369479,11,4331000.000000,8529
1,0,10,1,118,30,342000.000000,288000.000000,10323.434443,3669000.000000,9611.369479,11,3610000.000000,8529
1,0,10,1,118,30,342000.000000,283000.000000,10323.434443,3709000.000000,9611.369479,11,3664000.000000,8529
1,0,10,1,118,30,342000.000000,286000.000000,10323.434443,3697000.000000,9611.369479,11,3652000.000000,8529
1,0,10,1,118,30,342000.000000,284000.000000,10323.434443,3695000.000000,9611.369479,11,3653000.000000,8529
1,0,10,1,118,30,342000.000000,284000.000000,10323.434443,3690000.000000,9611.369479,11,3652000.000000,8529
1,1,10,1,118,30,348000.000000,306000.000000,10323.434443,87000.000000,10323.434443,0,38000.000000,1
1,1,10,1,118,30,348000.000000,284000.000000,10323.434443,78000.000000,10323.434443,0,38000.000000,1
1,1,10,1,118,30,348000.000000,293000.000000,10323.434443,77000.000000,10323.434443,0,38000.000000,1
1,1,10,1,118,30,348000.000000,282000.000000,10323.434443,74000.000000,10323.434443,0,37000.000000,1
1,1,10,1,118,30,348000.000000,283000.000000,10323.434443,74000.000000,10323.434443,0,36000.000000,1
1,1,10,1,118,30,348000.000000,282000.000000,10323.434443,74000.000000,10323.434443,0,36000.000000,1
1,1,10,1,118,30,348000.000000,283000.000000,10323.434443,75000.000000,10323.434443,0,36000.000000,1
1,1,10,1,118,30,348000.000000,289000.000000,10323.434443,94000.000000,10323.434443,0,38000.000000,1
1,1,10,1,118,30,348000.000000,283000.000000,10323.434443,76000.000000,10323.434443,0,37000.000000,1
1,1,10,1,118,30,348000.000000,331000.000000,10323.434443,87000.000000,10323.434443,0,37000.000000,1
1,0,10,1,106,30,316000.000000,237000.000000,7878.729143,4584000.000000,7197.236650,12,4545000.000000,10700
1,0,10,1,106,30,316000.000000,233000.000000,7878.729143,4630000.000000,7197.236650,12,4594000.000000,10700
1,0,10,1,106,30,316000.000000,233000.000000,7878.729143,4641000.000000,7197.236650,12,4599000.000000,10700
1,0,10,1,106,30,316000.000000,235000.000000,7878.729143,9078000.000000,7197.236650,12,8914000.000000,10700
1,0,10,1,106,30,316000.000000,248000.000000,7878.729143,4659000.000000,7197.236650,12,4583000.000000,10700
1,0,10,1,106,30,316000.000000,235000.000000,7878.729143,4779000.000000,7197.236650,12,4726000.000000,10700
1,0,10,1,106,30,316000.000000,235000.000000,7878.729143,4716000.000000,7197.236650,12,4663000.000000,10700
1,0,10,1,106,30,316000.000000,389000.000000,7878.729143,5706000.000000,7197.236650,12,5639000.000000,10700
1,0,10,1,106,30,316000.000000,235000.000000,7878.729143,4606000.000000,7197.236650,12,4568000.000000,10700
1,0,10,1,106,30,316000.000000,232000.000000,7878.729143,4708000.000000,7197.236650,12,4618000.000000,10700
1,1,10,1,106,30,306000.000000,237000.000000,7878.729143,70000.000000,7878.729143,0,32000.000000,1
1,1,10,1,106,30,306000.000000,233000.000000,7878.729143,65000.000000,7878.729143,0,31000.000000,1
1,1,10,1,106,30,306000.000000,231000.000000,7878.729143,65000.000000,7878.729143,0,31000.000000,1
1,1,10,1,106,30,306000.000000,236000.000000,7878.729143,78000.000000,7878.729143,0,32000.000000,1
1,1,10,1,106,30,306000.000000,231000.000000,7878.729143,64000.000000,7878.729143,0,31000.000000,1
1,1,10,1,106,30,306000.000000,231000.000000,7878.729143,64000.000000,7878.729143,0,31000.000000,1
1,1,10,1,106,30,306000.000000,231000.000000,7878.729143,64000.000000,7878.729143,0,31000.000000,1
1,1,10,1,106,30,306000.000000,232000.000000,7878.729143,64000.000000,7878.729143,0,31000.000000,1
1,1,10,1,106,30,306000.000000,230000.000000,7878.729143,69000.000000,7878.729143,0,31000.000000,1
1,1,10,1,106,30,306000.000000,232000.000000,7878.729143,65000.000000,7878.729143,0,31000.000000,1
1,0,10,4,104,30,301000.000000,227000.000000,9220.111693,3315000.000000,8723.539778,9,3275000.000000,7717
1,0,10,4,104,30,301000.000000,224000.000000,9220.111693,3390000.000000,8723.539778,9,3339000.000000,7717
1,0,10,4,104,30,301000.000000,225000.000000,9220.111693,3732000.000000,8723.539778,9,3665000.000000,7717
1,0,10,4,104,30,301000.000000,258000.000000,9220.111693,3769000.000000,8723.539778,9,3718000.000000,7717
1,0,10,4,104,30,301000.000000,238000.000000,9220.111693,5412000.000000,8723.539778,9,5355000.000000,7717
1,0,10,4,104,30,301000.000000,231000.000000,9220.111693,3561000.000000,8723.539778,9,3508000.000000,7717
1,0,10,4,104,30,301000.000000,242000.000000,9220.111693,3348000.000000,8723.539778,9,3308000.000000,7717
1,0,10,4,104,30,301000.000000,229000.000000,9220.111693,4089000.000000,8723.539778,9,4034000.000000,7717
1,0,10,4,104,30,301000.000000,228000.000000,9220.111693,3417000.000000,8723.539778,9,3376000.000000,7717
1,0,10,4,104,30,301000.000000,228000.000000,9220.111693,3549000.000000,8723.539778,9,3508000.000000,7717
1,1,10,4,104,30,301000.000000,228000.000000,9220.111693,70000.000000,9220.111693,0,32000.000000,4
1,1,10,4,104,30,301000.000000,223000.000000,9220.111693,65000.000000,9220.111693,0,32000.000000,4
1,1,10,4,104,30,301000.000000,225000.000000,9220.111693,64000.000000,9220.111693,0,31000.000000,4
1,1,10,4,104,30,301000.000000,224000.000000,9220.111693,63000.000000,9220.111693,0,31000.000000,4
1,1,10,4,104,30,301000.000000,225000.000000,9220.111693,62000.000000,9220.111693,0,32000.000000,4
1,1,10,4,104,30,301000.000000,224000.000000,9220.111693,63000.000000,9220.111693,0,32000.000000,4
1,1,10,4,104,30,301000.000000,224000.000000,9220.111693,63000.000000,9220.111693,0,32000.000000,4
1,1,10,4,104,30,301000.000000,224000.000000,9220.111693,63000.000000,9220.111693,0,32000.000000,4
1,1,10,4,104,30,301000.000000,224000.000000,9220.111693,62000.000000,9220.111693,0,31000.000000,4
1,1,10,4,104,30,301000.000000,224000.000000,9220.111693,63000.000000,9220.111693,0,32000.000000,4
1,0,10,1,88,30,281000.000000,180000.000000,7623.583453,2429000.000000,7245.156610,9,2388000.000000,5348
1,0,10,1,88,30,281000.000000,164000.000000,7623.583453,2309000.000000,7245.156610,9,2278000.000000,5348
1,0,10,1,88,30,281000.000000,163000.000000,7623.583453,2309000.000000,7245.156610,9,2276000.000000,5348
1,0,10,1,88,30,281000.000000,163000.000000,7623.583453,2313000.000000,7245.156610,9,2281000.000000,5348
1,0,10,1,88,30,281000.000000,162000.000000,7623.583453,2309000.000000,7245.156610,9,2277000.000000,5348
1,0,10,1,88,30,281000.000000,162000.000000,7623.583453,2308000.000000,7245.156610,9,2275000.000000,5348
1,0,10,1,88,30,281000.000000,162000.000000,7623.583453,2313000.000000,7245.156610,9,2283000.000000,5348
1,0,10,1,88,30,281000.000000,1502000.000000,7623.583453,2440000.000000,7245.156610,9,2366000.000000,5348
1,0,10,1,88,30,281000.000000,167000.000000,7623.583453,3082000.000000,7245.156610,9,3035000.000000,5348
1,0,10,1,88,30,281000.000000,167000.000000,7623.583453,2313000.000000,7245.156610,9,2276000.000000,5348
1,1,10,1,88,30,263000.000000,168000.000000,7623.583453,61000.000000,7623.583453,0,25000.000000,1
1,1,10,1,88,30,263000.000000,164000.000000,7623.583453,56000.000000,7623.583453,0,24000.000000,1
1,1,10,1,88,30,263000.000000,162000.000000,7623.583453,55000.000000,7623.583453,0,24000.000000,1
1,1,10,1,88,30,263000.000000,162000.000000,7623.583453,55000.000000,7623.583453,0,24000.000000,1
1,1,10,1,88,30,263000.000000,161000.000000,7623.583453,54000.000000,7623.583453,0,24000.000000,1
1,1,10,1,88,30,263000.000000,161000.000000,7623.583453,54000.000000,7623.583453,0,24000.000000,1
1,1,10,1,88,30,263000.000000,161000.000000,7623.583453,53000.000000,7623.583453,0,24000.000000,1
1,1,10,1,88,30,263000.000000,162000.000000,7623.583453,54000.000000,7623.583453,0,24000.000000,1
1,1,10,1,88,30,263000.000000,161000.000000,7623.583453,54000.000000,7623.583453,0,25000.000000,1
1,1,10,1,88,30,263000.000000,252000.000000,7623.583453,74000.000000,7623.583453,0,32000.000000,1
1,0,10,1,72,30,227000.000000,119000.000000,8215.296950,2502000.000000,7327.630438,15,2454000.000000,4673
1,0,10,1,72,30,227000.000000,178000.000000,8215.296950,2152000.000000,7327.630438,15,2101000.000000,4673
1,0,10,1,72,30,227000.000000,173000.000000,8215.296950,2189000.000000,7327.630438,15,2118000.000000,4673
1,0,10,1,72,30,227000.000000,119000.000000,8215.296950,2083000.000000,7327.630438,15,2013000.000000,4673
1,0,10,1,72,30,227000.000000,115000.000000,8215.296950,2906000.000000,7327.630438,15,2855000.000000,4673
1,0,10,1,72,30,227000.000000,117000.000000,8215.296950,2037000.000000,7327.630438,15,2000000.000000,4673
1,0,10,1,72,30,227000.000000,113000.000000,8215.296950,2045000.000000,7327.630438,15,2014000.000000,4673
1,0,10,1,72,30,227000.000000,112000.000000,8215.296950,2326000.000000,7327.630438,15,2236000.000000,4673
1,0,10,1,72,30,227000.000000,119000.000000,8215.296950,2057000.000000,7327.630438,15,2015000.000000,4673
1,0,10,1,72,30,227000.000000,120000.000000,8215.296950,2707000.000000,7327.630438,15,2074000.000000,4673
1,1,10,1,72,30,312000.000000,120000.000000,8215.296950,56000.000000,8215.296950,0,18000.000000,1
1,1,10,1,72,30,312000.000000,114000.000000,8215.296950,49000.000000,8215.296950,0,18000.000000,1
1,1,10,1,72,30,312000.000000,112000.000000,8215.296950,47000.000000,8215.296950,0,18000.000000,1
1,1,10,1,72,30,312000.000000,126000.000000,8215.296950,149000.000000,8215.296950,0,19000.000000,1
1,1,10,1,72,30,312000.000000,116000.000000,8215.296950,47000.000000,8215.296950,0,18000.000000,1
1,1,10,1,72,30,312000.000000,113000.000000,8215.296950,48000.000000,8215.296950,0,17000.000000,1
1,1,10,1,72,30,312000.000000,113000.000000,8215.296950,47000.000000,8215.296950,0,18000.000000,1
1,1,10,1,72,30,312000.000000,136000.000000,8215.296950,59000.000000,8215.296950,0,20000.000000,1
1,1,10,1,72,30,312000.000000,114000.000000,8215.296950,48000.000000,8215.296950,0,18000.000000,1
1,1,10,1,72,30,312000.000000,113000.000000,8215.296950,46000.000000,8215.296950,0,18000.000000,1
1,0,20,3,228,30,637000.000000,1380000.000000,15021.911610,34900000.000000,14205.151901,27,34672000.000000,70617
1,0,20,3,228,30,637000.000000,1086000.000000,15021.911610,30399000.000000,14205.151901,27,30303000.000000,70617
1,0,20,3,228,30,637000.000000,1016000.000000,15021.911610,31148000.000000,14205.151901,27,31076000.000000,70617
1,0,20,3,228,30,637000.000000,1085000.000000,15021.911610,33185000.000000,14205.151901,27,33107000.000000,70617
1,0,20,3,228,30,637000.000000,1017000.000000,15021.911610,36700000.000000,14205.151901,27,36565000.000000,70617
1,0,20,3,228,30,637000.000000,1267000.000000,15021.911610,34475000.000000,14205.151901,27,34334000.000000,70617
1,0,20,3,228,30,637000.000000,1027000.000000,15021.911610,36525000.000000,14205.151901,27,36441000.000000,70617
1,0,20,3,228,30,637000.000000,1085000.000000,15021.911610,31141000.000000,14205.151901,27,31071000.000000,70617
1,0,20,3,228,30,637000.000000,1124000.000000,15021.911610,30501000.000000,14205.151901,27,30434000.000000,70617
1,0,20,3,228,30,637000.000000,1018000.000000,15021.911610,32609000.000000,14205.151901,27,32537000.000000,70617
1,1,20,3,228,30,730000.000000,1138000.000000,15021.911610,516000.000000,14637.190664,2,441000.000000,23
1,1,20,3,228,30,730000.000000,1086000.000000,15021.911610,509000.000000,14637.190664,2,441000.000000,23
1,1,20,3,228,30,730000.000000,1012000.000000,15021.911610,470000.000000,14637.190664,2,411000.000000,23
1,1,20,3,228,30,730000.000000,1018000.000000,15021.911610,473000.000000,14637.190664,2,411000.000000,23
1,1,20,3,228,30,730000.000000,1013000.000000,15021.911610,470000.000000,14637.190664,2,412000.000000,23
1,1,20,3,228,30,730000.000000,1011000.000000,15021.911610,470000.000000,14637.190664,2,411000.000000,23
1,1,20,3,228,30,730000.000000,1018000.000000,15021.911610,470000.000000,14637.190664,2,412000.000000,23
1,1,20,3,228,30,730000.000000,1016000.000000,15021.911610,471000.000000,14637.190664,2,413000.000000,23
1,1,20,3,228,30,730000.000000,1011000.000000,15021.911610,471000.000000,14637.190664,2,412000.000000,23
1,1,20,3,228,30,730000.000000,1013000.000000,15021.911610,470000.000000,14637.190664,2,412000.000000,23
1,0,20,4,182,30,525000.000000,661000.000000,17092.253086,28723000.000000,15606.111028,32,28647000.000000,58954
1,0,20,4,182,30,525000.000000,667000.000000,17092.253086,25543000.000000,15606.111028,32,25484000.000000,58954
1,0,20,4,182,30,525000.000000,656000.000000,17092.253086,25805000.000000,15606.111028,32,25739000.000000,58954
1,0,20,4,182,30,525000.000000,659000.000000,17092.253086,31518000.000000,15606.111028,32,31369000.000000,58954
1,0,20,4,182,30,525000.000000,658000.000000,17092.253086,28682000.000000,15606.111028,32,28614000.000000,58954
1,0,20,4,182,30,525000.000000,754000.000000,17092.253086,25727000.000000,15606.111028,32,25655000.000000,58954
1,0,20,4,182,30,525000.000000,659000.000000,17092.253086,27889000.000000,15606.111028,32,27809000.000000,58954
1,0,20,4,182,30,525000.000000,705000.000000,17092.253086,26384000.000000,15606.111028,32,26320000.000000,58954
1,0,20,4,182,30,525000.000000,658000.000000,17092.253086,25577000.000000,15606.111028,32,25517000.000000,58954
1,0,20,4,182,30,525000.000000,659000.000000,17092.253086,25550000.000000,15606.111028,32,25492000.000000,58954
1,1,20,4,182,30,523000.000000,661000.000000,17092.253086,175000.000000,17082.062770,1,117000.000000,11
1,1,20,4,182,30,523000.000000,657000.000000,17092.253086,164000.000000,17082.062770,1,116000.000000,11
1,1,20,4,182,30,523000.000000,657000.000000,17092.253086,163000.000000,17082.062770,1,116000.000000,11
1,1,20,4,182,30,523000.000000,656000.000000,17092.253086,164000.000000,17082.062770,1,116000.000000,11
1,1,20,4,182,30,523000.000000,1102000.000000,17092.253086,181000.000000,17082.062770,1,117000.000000,11
1,1,20,4,182,30,523000.000000,657000.000000,17092.253086,165000.000000,17082.062770,1,116000.000000,11
1,1,20,4,182,30,523000.000000,656000.000000,17092.253086,163000.000000,17082.062770,1,116000.000000,11
1,1,20,4,182,30,523000.000000,655000.000000,17092.253086,164000.000000,17082.062770,1,116000.000000,11
1,1,20,4,182,30,523000.000000,655000.000000,17092.253086,164000.000000,17082.062770,1,116000.000000,11
1,1,20,4,182,30,523000.000000,655000.000000,17092.253086,162000.000000,17082.062770,1,116000.000000,11
1,0,20,6,192,30,595000.000000,784000.000000,15076.800631,27336000.000000,14134.365731,27,27259000.000000,55059
1,0,20,6,192,30,595000.000000,781000.000000,15076.800631,24901000.000000,14134.365731,27,24816000.000000,55059
1,0,20,6,192,30,595000.000000,732000.000000,15076.800631,23764000.000000,14134.365731,27,23698000.000000,55059
1,0,20,6,192,30,595000.000000,803000.000000,15076.800631,24379000.000000,14134.365731,27,24318000.000000,55059
1,0,20,6,192,30,595000.000000,730000.000000,15076.800631,23658000.000000,14134.365731,27,23606000.000000,55059
1,0,20,6,192,30,595000.000000,728000.000000,15076.800631,24549000.000000,14134.365731,27,24461000.000000,55059
1,0,20,6,192,30,595000.000000,733000.000000,15076.800631,26696000.000000,14134.365731,27,26615000.000000,55059
1,0,20,6,192,30,595000.000000,781000.000000,15076.800631,24689000.000000,14134.365731,27,24618000.000000,55059
1,0,20,6,192,30,595000.000000,731000.000000,15076.800631,26052000.000000,14134.365731,27,25974000.000000,55059
1,0,20,6,192,30,595000.000000,734000.000000,15076.800631,26643000.000000,14134.365731,27,26577000.000000,55059
1,1,20,6,192,30,589000.000000,763000.000000,15076.800631,169000.000000,15076.800631,0,110000.000000,8
1,1,20,6,192,30,589000.000000,728000.000000,15076.800631,158000.000000,15076.800631,0,109000.000000,8
1,1,20,6,192,30,589000.000000,729000.000000,15076.800631,157000.000000,15076.800631,0,108000.000000,8
1,1,20,6,192,30,589000.000000,726000.000000,15076.800631,157000.000000,15076.800631,0,109000.000000,8
1,1,20,6,192,30,589000.000000,1395000.000000,15076.800631,337000.000000,15076.800631,0,212000.000000,8
1,1,20,6,192,30,589000.000000,1292000.000000,15076.800631,181000.000000,15076.800631,0,125000.000000,8
1,1,20,6,192,30,589000.000000,835000.000000,15076.800631,181000.000000,15076.800631,0,125000.000000,8
1,1,20,6,192,30,589000.000000,836000.000000,15076.800631,179000.000000,15076.800631,0,125000.000000,8
1,1,20,6,192,30,589000.000000,835000.000000,15076.800631,180000.000000,15076.800631,0,125000.000000,8
1,1,20,6,192,30,589000.000000,778000.000000,15076.800631,167000.000000,15076.800631,0,116000.000000,8
1,0,20,3,226,30,684000.000000,1068000.000000,15735.309060,47562000.000000,14319.344713,30,47465000.000000,93802
1,0,20,3,226,30,684000.000000,1148000.000000,15735.309060,43969000.000000,14319.344713,30,43856000.000000,93802
1,0,20,3,226,30,684000.000000,996000.000000,15735.309060,45275000.000000,14319.344713,30,45121000.000000,93802
1,0,20,3,226,30,684000.000000,1000000.000000,15735.309060,40262000.000000,14319.344713,30,40187000.000000,93802
1,0,20,3,226,30,684000.000000,995000.000000,15735.309060,42617000.000000,14319.344713,30,42545000.000000,93802
1,0,20,3,226,30,684000.000000,1144000.000000,15735.309060,41808000.000000,14319.344713,30,41704000.000000,93802
1,0,20,3,226,30,684000.000000,998000.000000,15735.309060,40203000.000000,14319.344713,30,40134000.000000,93802
1,0,20,3,226,30,684000.000000,994000.000000,15735.309060,42431000.000000,14319.344713,30,42360000.000000,93802
1,0,20,3,226,30,684000.000000,998000.000000,15735.309060,40224000.000000,14319.344713,30,40156000.000000,93802
1,0,20,3,226,30,684000.000000,996000.000000,15735.309060,43422000.000000,14319.344713,30,43347000.000000,93802
1,1,20,3,226,30,633000.000000,999000.000000,15735.309060,287000.000000,15726.187680,1,217000.000000,9
1,1,20,3,226,30,633000.000000,999000.000000,15735.309060,282000.000000,15726.187680,1,218000.000000,9
1,1,20,3,226,30,633000.000000,995000.000000,15735.309060,284000.000000,15726.187680,1,225000.000000,9
1,1,20,3,226,30,633000.000000,996000.000000,15735.309060,297000.000000,15726.187680,1,220000.000000,9
1,1,20,3,226,30,633000.000000,999000.000000,15735.309060,278000.000000,15726.187680,1,217000.000000,9
1,1,20,3,226,30,633000.000000,994000.000000,15735.309060,275000.000000,15726.187680,1,217000.000000,9
1,1,20,3,226,30,633000.000000,994000.000000,15735.309060,275000.000000,15726.187680,1,217000.000000,9
1,1,20,3,226,30,633000.000000,993000.000000,15735.309060,275000.000000,15726.187680,1,217000.000000,9
1,1,20,3,226,30,633000.000000,993000.000000,15735.309060,277000.000000,15726.187680,1,218000.000000,9
1,1,20,3,226,30,633000.000000,993000.000000,15735.309060,275000.000000,15726.187680,1,217000.000000,9
1,0,20,7,228,30,661000.000000,1014000.000000,16050.223280,25325000.000000,15728.493935,12,25216000.000000,48567
1,0,20,7,228,30,661000.000000,1013000.000000,16050.223280,21638000.000000,15728.493935,12,21516000.000000,48567
1,0,20,7,228,30,661000.000000,1015000.000000,16050.223280,22114000.000000,15728.493935,12,22028000.000000,48567
1,0,20,7,228,30,661000.000000,1013000.000000,16050.223280,20890000.000000,15728.493935,12,20815000.000000,48567
1,0,20,7,228,30,661000.000000,1009000.000000,16050.223280,21279000.000000,15728.493935,12,21218000.000000,48567
1,0,20,7,228,30,661000.000000,1008000.000000,16050.223280,21604000.000000,15728.493935,12,21494000.000000,48567
1,0,20,7,228,30,661000.000000,1160000.000000,16050.223280,22314000.000000,15728.493935,12,22231000.000000,48567
1,0,20,7,228,30,661000.000000,1016000.000000,16050.223280,20867000.000000,15728.493935,12,20801000.000000,48567
1,0,20,7,228,30,661000.000000,1012000.000000,16050.223280,20948000.000000,15728.493935,12,20888000.000000,48567
1,0,20,7,228,30,661000.000000,1010000.000000,16050.223280,20954000.000000,15728.493935,12,20888000.000000,48567
