opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,distancia_camino,cant_mejoras,tiempo_swap,vecinos_prom
1,0,10,4,90,30,275000.000000,175000.000000,4208.428975,1834000.000000,4058.183870,9,1797000.000000,4152
1,0,10,4,90,30,275000.000000,171000.000000,4208.428975,1828000.000000,4058.183870,9,1796000.000000,4152
1,0,10,4,90,30,275000.000000,170000.000000,4208.428975,2242000.000000,4058.183870,9,2190000.000000,4152
1,0,10,4,90,30,275000.000000,239000.000000,4208.428975,2232000.000000,4058.183870,9,2167000.000000,4152
1,0,10,4,90,30,275000.000000,175000.000000,4208.428975,1832000.000000,4058.183870,9,1796000.000000,4152
1,0,10,4,90,30,275000.000000,170000.000000,4208.428975,1828000.000000,4058.183870,9,1798000.000000,4152
1,0,10,4,90,30,275000.000000,169000.000000,4208.428975,3260000.000000,4058.183870,9,3205000.000000,4152
1,0,10,4,90,30,275000.000000,191000.000000,4208.428975,1890000.000000,4058.183870,9,1812000.000000,4152
1,0,10,4,90,30,275000.000000,178000.000000,4208.428975,2575000.000000,4058.183870,9,2511000.000000,4152
1,0,10,4,90,30,275000.000000,184000.000000,4208.428975,1815000.000000,4058.183870,9,1769000.000000,4152
1,1,10,4,90,30,265000.000000,176000.000000,4208.428975,62000.000000,4208.428975,0,26000.000000,4
1,1,10,4,90,30,265000.000000,172000.000000,4208.428975,57000.000000,4208.428975,0,27000.000000,4
1,1,10,4,90,30,265000.000000,170000.000000,4208.428975,57000.000000,4208.428975,0,26000.000000,4
1,1,10,4,90,30,265000.000000,170000.000000,4208.428975,56000.000000,4208.428975,0,26000.000000,4
1,1,10,4,90,30,265000.000000,170000.000000,4208.428975,56000.000000,4208.428975,0,26000.000000,4
1,1,10,4,90,30,265000.000000,170000.000000,4208.428975,56000.000000,4208.428975,0,26000.000000,4
1,1,10,4,90,30,265000.000000,169000.000000,4208.428975,55000.000000,4208.428975,0,26000.000000,4
