opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,distancia_camino,cant_mejoras,tiempo_swap,vecinos_prom,largo
1,0,10,4,52,30,173000.000000,69000.000000,8215.624092,671000.000000,8117.496490,6,640000.000000,1476,34
1,0,10,4,52,30,173000.000000,64000.000000,8215.624092,669000.000000,8117.496490,6,639000.000000,1476,34
1,0,10,4,52,30,173000.000000,64000.000000,8215.624092,666000.000000,8117.496490,6,639000.000000,1476,34
1,0,10,4,52,30,173000.000000,63000.000000,8215.624092,666000.000000,8117.496490,6,639000.000000,1476,34
1,0,10,4,52,30,173000.000000,63000.000000,8215.624092,665000.000000,8117.496490,6,638000.000000,1476,34
1,0,10,4,52,30,173000.000000,63000.000000,8215.624092,666000.000000,8117.496490,6,639000.000000,1476,34
1,0,10,4,52,30,173000.000000,63000.000000,8215.624092,665000.000000,8117.496490,6,639000.000000,1476,34
1,0,10,4,52,30,173000.000000,63000.000000,8215.624092,665000.000000,8117.496490,6,638000.000000,1476,34
1,0,10,4,52,30,173000.000000,66000.000000,8215.624092,680000.000000,8117.496490,6,639000.000000,1476,34
1,0,10,4,52,30,173000.000000,67000.000000,8215.624092,667000.000000,8117.496490,6,638000.000000,1476,34
1,1,10,4,52,30,173000.000000,69000.000000,8215.624092,58000.000000,8022.430908,1,27000.000000,12,34
1,1,10,4,52,30,173000.000000,64000.000000,8215.624092,57000.000000,8022.430908,1,27000.000000,12,34
1,1,10,4,52,30,173000.000000,63000.000000,8215.624092,54000.000000,8022.430908,1,26000.000000,12,34
1,1,10,4,52,30,173000.000000,64000.000000,8215.624092,53000.000000,8022.430908,1,26000.000000,12,34
1,1,10,4,52,30,173000.000000,64000.000000,8215.624092,54000.000000,8022.430908,1,26000.000000,12,34
1,1,10,4,52,30,173000.000000,64000.000000,8215.624092,53000.000000,8022.430908,1,27000.000000,12,34
1,1,10,4,52,30,173000.000000,63000.000000,8215.624092,53000.000000,8022.430908,1,27000.000000,12,34
1,1,10,4,52,30,173000.000000,63000.000000,8215.624092,52000.000000,8022.430908,1,26000.000000,12,34
1,1,10,4,52,30,173000.000000,63000.000000,8215.624092,52000.000000,8022.430908,1,27000.000000,12,34
1,1,10,4,52,30,173000.000000,63000.000000,8215.624092,53000.000000,8022.430908,1,26000.000000,12,34
1,0,10,2,34,30,139000.000000,39000.000000,8494.338612,305000.000000,7302.291605,10,277000.000000,632,26
1,0,10,2,34,30,139000.000000,35000.000000,8494.338612,299000.000000,7302.291605,10,276000.000000,632,26
1,0,10,2,34,30,139000.000000,35000.000000,8494.338612,298000.000000,7302.291605,10,274000.000000,632,26
1,0,10,2,34,30,139000.000000,33000.000000,8494.338612,298000.000000,7302.291605,10,275000.000000,632,26
1,0,10,2,34,30,139000.000000,34000.000000,8494.338612,298000.000000,7302.291605,10,276000.000000,632,26
1,0,10,2,34,30,139000.000000,34000.000000,8494.338612,297000.000000,7302.291605,10,277000.000000,632,26
1,0,10,2,34,30,139000.000000,34000.000000,8494.338612,297000.000000,7302.291605,10,275000.000000,632,26
1,0,10,2,34,30,139000.000000,33000.000000,8494.338612,297000.000000,7302.291605,10,275000.000000,632,26
1,0,10,2,34,30,139000.000000,33000.000000,8494.338612,297000.000000,7302.291605,10,276000.000000,632,26
1,0,10,2,34,30,139000.000000,33000.000000,8494.338612,297000.000000,7302.291605,10,277000.000000,632,26
1,1,10,2,34,30,137000.000000,43000.000000,8494.338612,47000.000000,8399.103641,1,19000.000000,8,26
1,1,10,2,34,30,137000.000000,38000.000000,8494.338612,41000.000000,8399.103641,1,18000.000000,8,26
1,1,10,2,34,30,137000.000000,36000.000000,8494.338612,40000.000000,8399.103641,1,18000.000000,8,26
1,1,10,2,34,30,137000.000000,36000.000000,8494.338612,40000.000000,8399.103641,1,18000.000000,8,26
1,1,10,2,34,30,137000.000000,35000.000000,8494.338612,39000.000000,8399.103641,1,18000.000000,8,26
1,1,10,2,34,30,137000.000000,36000.000000,8494.338612,39000.000000,8399.103641,1,17000.000000,8,26
1,1,10,2,34,30,137000.000000,42000.000000,8494.338612,56000.000000,8399.103641,1,17000.000000,8,26
1,1,10,2,34,30,137000.000000,44000.000000,8494.338612,46000.000000,8399.103641,1,18000.000000,8,26
1,1,10,2,34,30,137000.000000,40000.000000,8494.338612,41000.000000,8399.103641,1,17000.000000,8,26
1,1,10,2,34,30,137000.000000,35000.000000,8494.338612,96000.000000,8399.103641,1,38000.000000,8,26
1,0,10,4,44,30,923000.000000,89000.000000,8053.944812,455000.000000,7114.642349,6,424000.000000,946,31
