gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
50,110,5,1.87566e+08,31727.4,23494,1,10,5
50,96,5,1.4234e+08,30804.4,25489.4,1,10,5
60,136,5,4.32891e+08,39283.2,30505.4,1,10,5
60,124,5,2.42325e+08,34991.4,29303.1,1,10,5
60,128,5,3.27448e+08,37825.4,30485.9,1,10,5
60,114,5,3.25335e+08,33407.8,27491.3,1,10,5
60,124,5,4.13796e+08,35988,25671.4,1,10,5
70,140,5,3.69368e+08,38758.4,34816.6,1,10,5
70,138,5,5.15857e+08,36581,27886.3,1,10,5
70,150,5,7.72659e+08,39687.1,32192.4,2,10,5
70,154,5,5.63513e+08,40602.4,34878.1,2,10,5
70,164,5,8.01271e+08,43652.7,34318.8,1,10,5
80,158,5,5.50026e+08,44609,33642.4,1,10,5
80,162,5,7.92362e+08,44942.5,34313.8,2,10,5
80,164,5,8.85513e+08,46653.5,36319.5,2,10,5
80,170,5,7.44718e+08,44838.7,37239.4,2,10,5
80,160,5,7.73931e+08,45738.6,36213,1,10,5
90,198,5,1.6147e+09,52172.1,35264.3,2,10,5
90,188,5,1.07752e+09,50236.2,39844.1,2,10,5
90,182,5,1.15210e+09,55493,39198.8,2,10,5
90,200,5,1.35737e+09,52120.1,37558.3,1,10,5
90,200,5,9.70666e+08,51130.1,39765.9,2,10,5
100,180,5,1.3779e+09,53618.2,39978.3,1,10,5
100,202,5,1.58801e+09,57047.2,42622.8,1,10,5
100,190,5,1.24594e+09,62542.7,44436.7,1,10,5
100,200,5,1.21724e+09,54577.5,41644.9,2,10,5
100,212,5,1.68806e+09,59297.3,45762.1,2,10,5
110,234,5,2.30305e+09,62899.7,45041.7,1,10,5
110,220,5,2.04818e+09,54805.2,44889.5,2,10,5
110,222,5,1.84553e+09,68732.6,51056.7,2,10,5
110,234,5,2.65128e+09,65025.5,46705.2,2,10,5
110,224,5,2.014e+09,64034,47508.5,2,10,5
120,244,5,2.62967e+09,69571.2,50696,2,10,5
120,234,5,2.38572e+09,72195.7,53463.4,2,10,5
120,230,5,2.27177e+09,71463.1,49794.7,1,10,5
120,246,5,2.75734e+09,66235.1,49323.2,3,10,5
120,246,5,2.53426e+09,66487.2,53086.5,1,10,5
130,250,5,2.94720e+09,73106,51211.6,3,10,5
130,248,5,3.24052e+09,75950.9,52037.9,3,10,5
130,260,5,3.21187e+09,70738.8,53220.7,2,10,5
130,274,5,3.60092e+09,71483,53161.5,2,10,5
130,262,5,2.80484e+09,73132.9,58919.7,2,10,5
140,292,5,4.7068e+09,80295,55797.8,3,10,5
140,294,5,4.83535e+09,75641.1,56004.7,2,10,5
140,282,5,4.33443e+09,77612,57290.9,1,10,5
140,272,5,4.18281e+09,74882.8,56395.3,4,10,5
140,284,5,4.43223e+09,72571.4,55636.3,2,10,5
10,20,5,3.433e+06,5928.23,5928.23,0,15,5
10,22,5,5.444e+06,7332.09,4596.62,1,15,5
10,20,5,3.586e+06,5625.38,4584.63,1,15,5
10,26,5,7.291e+06,6751.18,6285.76,1,15,5
10,20,5,3.561e+06,8128.46,5806.03,1,15,5
20,42,5,1.3094e+07,13523.3,10703.6,1,15,5
20,44,5,1.8971e+07,11953.4,10689.6,1,15,5
20,40,5,1.9448e+07,12509.2,12006.1,1,15,5
20,50,5,3.3919e+07,11792.3,11419.4,1,15,5
20,40,5,1.6115e+07,13564.7,10560.6,1,15,5
30,54,5,6.5126e+07,18338,15525.9,1,15,5
30,56,5,6.2878e+07,20312.1,14877.9,1,15,5
30,56,5,4.1065e+07,16564.6,13438,1,15,5
30,64,5,5.6436e+07,18780,15106.9,1,15,5
30,62,5,5.5137e+07,18481.6,15997.7,1,15,5
40,80,5,1.09508e+08,24961.3,18921,1,15,5
