gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
90,188,5,5.20604e+09,55494.6,42014.2,2,50,5
100,206,5,7.66104e+09,61450.3,45188.8,4,50,5
110,226,5,9.97843e+09,66546.3,49628,1,50,5
120,246,5,1.38821e+10,69141.7,53300.6,4,50,5
130,268,5,1.65649e+10,80203.5,53735.9,5,50,5
140,288,5,2.20683e+10,85187.5,58894,6,50,5
10,22,5,1.45e+06,7212.48,5836.32,1,5,10
20,44,5,5.132e+06,13469.3,11889.7,1,5,10
30,64,5,2.1491e+07,18376.3,15072.1,1,5,10
40,82,5,3.4535e+07,25886,22522.7,1,5,10
50,108,5,5.3186e+07,31705.8,26098.4,1,5,10
60,134,5,1.41087e+08,38857.2,31533.5,1,5,10
70,152,5,2.60792e+08,46679.4,35614,2,5,10
80,170,5,4.80412e+08,52340.9,41016.9,1,5,10
90,188,5,4.9449e+08,55494.6,42346.3,1,5,10
100,206,5,7.59281e+08,61450.3,49192.3,1,5,10
110,226,5,1.06974e+09,66546.3,49154.9,1,5,10
120,246,5,1.12439e+09,69141.7,53510.3,1,5,10
130,268,5,1.69328e+09,80203.5,58163.9,2,5,10
140,288,5,1.7122e+09,85187.5,60714,2,5,10
10,22,5,2.56e+06,7212.48,6148.92,1,10,10
20,44,5,1.114e+07,13469.3,11063.3,1,10,10
30,64,5,2e+07,18376.3,16013.1,1,10,10
40,82,5,9.2146e+07,25886,19742.4,1,10,10
50,108,5,1.37724e+08,31705.8,26555,1,10,10
60,134,5,3.32162e+08,38857.2,32813.8,1,10,10
70,152,5,6.13874e+08,46679.4,33062.4,1,10,10
80,170,5,1.06497e+09,52340.9,38204,1,10,10
90,188,5,1.24313e+09,55494.6,43704.1,2,10,10
100,206,5,1.55646e+09,61450.3,46562.6,2,10,10
110,226,5,2.01031e+09,66546.3,48585.8,2,10,10
120,246,5,3.12946e+09,69141.7,54446.6,3,10,10
130,268,5,3.96341e+09,80203.5,58855,4,10,10
140,288,5,4.38842e+09,85187.5,59330.7,3,10,10
10,22,5,4.228e+06,7212.48,6334.79,1,15,10
20,44,5,1.3054e+07,13469.3,10879.5,1,15,10
30,64,5,5.8492e+07,18376.3,15769.4,1,15,10
40,82,5,1.21636e+08,25886,20760.3,1,15,10
50,108,5,2.35173e+08,31705.8,25673.6,1,15,10
60,134,5,5.11813e+08,38857.2,32761.5,1,15,10
70,152,5,1.05557e+09,46679.4,33882.1,1,15,10
80,170,5,1.25373e+09,52340.9,40410,1,15,10
90,188,5,1.61435e+09,55494.6,43363.4,1,15,10
100,206,5,2.1937e+09,61450.3,45547.3,2,15,10
110,226,5,3.18605e+09,66546.3,47876,1,15,10
120,246,5,3.94052e+09,69141.7,53353.8,1,15,10
130,268,5,4.60338e+09,80203.5,57286.5,3,15,10
140,288,5,6.56779e+09,85187.5,57228.8,2,15,10
10,22,5,6.398e+06,7212.48,5654.45,1,20,10
20,44,5,2.2814e+07,13469.3,12196.2,1,20,10
30,64,5,6.5204e+07,18376.3,16490.2,1,20,10
40,82,5,1.46976e+08,25886,20124.7,1,20,10
50,108,5,2.94702e+08,31705.8,26210.4,2,20,10
60,134,5,9.29093e+08,38857.2,31082.5,2,20,10
70,152,5,9.62599e+08,46679.4,35336.6,2,20,10
80,170,5,1.47998e+09,52340.9,36254,1,20,10
90,188,5,2.30744e+09,55494.6,41868.5,2,20,10
100,206,5,3.63399e+09,61450.3,42963.4,2,20,10
110,226,5,3.87696e+09,66546.3,48072.3,1,20,10
120,246,5,4.94608e+09,69141.7,52266.1,2,20,10
130,268,5,7.08683e+09,80203.5,56617.8,3,20,10
140,288,5,8.37956e+09,85187.5,57971,3,20,10
10,22,5,7.941e+06,7212.48,4908.23,1,30,10
20,44,5,5.1185e+07,13469.3,11748.2,1,30,10
30,64,5,1.19995e+08,18376.3,15535.6,1,30,10
40,82,5,2.32216e+08,25886,21582.7,1,30,10
