gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
3,2,4,1.03179e+06,27.7493,27.7493,0,30,10
3,2,4,1.04099e+06,27.7493,27.7493,0,30,10
3,2,4,1.05976e+06,27.7493,27.7493,0,30,10
3,2,4,1.07705e+06,27.476,25.9554,1,30,10
3,2,4,1.03135e+06,27.476,25.9554,1,30,10
3,2,4,1.05021e+06,27.476,25.9554,1,30,10
3,2,4,1.00558e+06,27.476,25.9554,1,30,10
3,2,4,1.0094e+06,27.476,25.9554,1,30,10
3,2,4,998243,27.476,25.9554,1,30,10
3,2,4,1.0646e+06,27.476,25.9554,1,30,10
3,2,4,1.03585e+06,27.476,25.9554,1,30,10
3,2,4,1.12327e+06,27.476,25.9554,1,30,10
3,2,4,1.12563e+06,27.476,25.9554,1,30,10
3,2,4,1.09963e+06,21.8518,21.8518,0,30,10
3,2,4,1.08476e+06,21.8518,21.8518,0,30,10
3,2,4,1.05124e+06,21.8518,21.8518,0,30,10
3,2,4,1.07056e+06,21.8518,21.8518,0,30,10
3,2,4,1.04562e+06,21.8518,21.8518,0,30,10
3,2,4,1.04138e+06,21.8518,21.8518,0,30,10
3,2,4,1.0418e+06,21.8518,21.8518,0,30,10
3,2,4,1.03736e+06,21.8518,21.8518,0,30,10
3,2,4,1.03313e+06,21.8518,21.8518,0,30,10
3,2,4,1.1124e+06,21.8518,21.8518,0,30,10
3,2,4,1.10462e+06,36.8773,30.4749,1,30,10
3,2,4,1.04039e+06,36.8773,30.4749,1,30,10
3,2,4,1.03581e+06,36.8773,30.4749,1,30,10
3,2,4,1.01868e+06,36.8773,30.4749,1,30,10
3,2,4,1.03035e+06,36.8773,30.4749,1,30,10
3,2,4,1.00963e+06,36.8773,30.4749,1,30,10
3,2,4,1.03231e+06,36.8773,30.4749,1,30,10
3,2,4,1.0569e+06,36.8773,30.4749,1,30,10
3,2,4,1.10944e+06,36.8773,30.4749,1,30,10
3,2,4,1.10888e+06,36.8773,30.4749,1,30,10
4,3,4,1.33458e+06,29.2636,26.7136,1,30,10
4,3,4,1.28452e+06,29.2636,26.7136,1,30,10
4,3,4,1.25997e+06,29.2636,26.7136,1,30,10
