gimnasios,pokeparadas,mochila,tiempo,distancia_original,distancia_final,cantidad_de_mejoras,iteraciones,gim_sacados
20,27,11,4.97906e+07,2848.95,2440.17,1,30,10
20,27,11,4.97177e+07,2848.95,2440.17,1,30,10
20,27,11,5.01533e+07,2848.95,2440.17,1,30,10
20,27,11,4.96726e+07,2848.95,2440.17,1,30,10
20,27,11,5.03137e+07,2848.95,2440.17,1,30,10
20,27,11,4.99129e+07,2848.95,2440.17,1,30,10
20,27,11,4.98594e+07,2848.95,2440.17,1,30,10
20,27,11,5.00849e+07,2848.95,2440.17,1,30,10
20,27,11,4.99142e+07,2848.95,2440.17,1,30,10
20,27,11,4.96871e+07,2848.95,2440.17,1,30,10
20,27,11,3.78172e+07,2478.04,2191.72,1,30,10
20,27,11,3.77253e+07,2478.04,2191.72,1,30,10
20,27,11,3.80865e+07,2478.04,2191.72,1,30,10
20,27,11,3.80778e+07,2478.04,2191.72,1,30,10
20,27,11,3.77884e+07,2478.04,2191.72,1,30,10
20,27,11,3.75853e+07,2478.04,2191.72,1,30,10
20,27,11,3.76502e+07,2478.04,2191.72,1,30,10
20,27,11,3.7985e+07,2478.04,2191.72,1,30,10
20,27,11,3.77358e+07,2478.04,2191.72,1,30,10
20,27,11,4.80462e+07,2478.04,2188.39,2,30,10
20,27,11,6.39098e+07,2640.08,2252.73,1,30,10
20,27,11,6.35684e+07,2640.08,2252.73,1,30,10
20,27,11,6.32105e+07,2640.08,2252.73,1,30,10
20,27,11,6.41896e+07,2640.08,2252.73,1,30,10
20,27,11,6.30473e+07,2640.08,2252.73,1,30,10
20,27,11,6.32508e+07,2640.08,2252.73,1,30,10
20,27,11,6.32937e+07,2640.08,2252.73,1,30,10
20,27,11,6.32351e+07,2640.08,2252.73,1,30,10
20,27,11,6.33561e+07,2640.08,2252.73,1,30,10
20,27,11,6.3028e+07,2640.08,2252.73,1,30,10
20,27,11,8.95678e+07,2592.83,2127.95,1,30,10
20,27,11,8.92803e+07,2592.83,2127.95,1,30,10
20,27,11,8.91841e+07,2592.83,2127.95,1,30,10
20,27,11,8.88708e+07,2592.83,2127.95,1,30,10
20,27,11,8.78379e+07,2592.83,2211.23,1,30,10
20,27,11,8.79976e+07,2592.83,2211.23,1,30,10
20,27,11,8.86231e+07,2592.83,2211.23,1,30,10
20,27,11,8.79434e+07,2592.83,2211.23,1,30,10
20,27,11,8.77629e+07,2592.83,2211.23,1,30,10
20,27,11,8.77757e+07,2592.83,2211.23,1,30,10
20,27,11,5.96186e+07,2478.28,2111.83,1,30,10
20,27,11,5.98575e+07,2478.28,2111.83,1,30,10
20,27,11,5.98204e+07,2478.28,2111.83,1,30,10
20,27,11,5.9526e+07,2478.28,2111.83,1,30,10
20,27,11,5.91403e+07,2478.28,2111.83,1,30,10
20,27,11,5.92714e+07,2478.28,2111.83,1,30,10
20,27,11,6.01617e+07,2478.28,2111.83,1,30,10
20,27,11,6.18518e+07,2478.28,2111.83,1,30,10
20,27,11,6.22574e+07,2478.28,2136.77,1,30,10
20,27,11,6.21655e+07,2478.28,2136.77,1,30,10
30,72,20,6.22692e+08,8826.36,8275.08,1,30,10
30,72,20,8.42586e+08,8826.36,7581.64,2,30,10
30,72,20,8.08508e+08,8826.36,6941.94,2,30,10
30,72,20,7.3801e+08,8826.36,6743.97,2,30,10
30,72,20,7.66743e+08,8826.36,6743.97,1,30,10
30,72,20,7.40473e+08,8826.36,6743.97,1,30,10
30,72,20,6.40873e+08,8826.36,7446.81,2,30,10
30,72,20,5.77263e+08,8826.36,7446.81,1,30,10
30,72,20,9.7893e+08,8826.36,7446.81,1,30,10
30,72,20,8.53016e+08,8826.36,7237.36,2,30,10
30,72,20,6.71842e+08,8989.71,7613.42,2,30,10
30,72,20,6.27551e+08,8989.71,7613.42,1,30,10
30,72,20,6.3636e+08,8989.71,7837.48,1,30,10
30,72,20,5.50851e+08,8989.71,7432.47,2,30,10
30,72,20,4.75475e+08,8989.71,7432.47,1,30,10
30,72,20,5.58753e+08,8989.71,7432.47,1,30,10
30,72,20,6.85162e+08,8989.71,7612.69,1,30,10
30,72,20,6.88759e+08,8989.71,7411.79,2,30,10
30,72,20,4.91995e+08,8989.71,7411.79,1,30,10
30,72,20,2.95034e+08,8989.71,7786.29,1,30,10
30,72,20,9.67578e+08,9057.58,6636.26,2,30,10
30,72,20,8.57826e+08,9057.58,6636.26,1,30,10
30,72,20,6.36639e+08,9057.58,7649.96,1,30,10
30,72,20,8.8221e+08,9057.58,7317.43,2,30,10
30,72,20,7.84343e+08,9057.58,7317.43,1,30,10
30,72,20,7.45107e+08,9057.58,7563.09,2,30,10
30,72,20,7.60003e+08,9057.58,7563.09,1,30,10
30,72,20,8.70039e+08,9057.58,7755.41,1,30,10
30,72,20,6.0019e+08,9057.58,7561.76,2,30,10
30,72,20,6.08993e+08,9057.58,7561.76,1,30,10
30,72,20,6.32103e+08,9954.98,7818.17,1,30,10
30,72,20,8.96791e+08,9954.98,7818.17,1,30,10
30,72,20,8.96885e+08,9954.98,7730.19,2,30,10
