opcion_greedy,opcion_busqueda,cant_gim,cant_gim_mismo_costo,cant_poke,cap_mochila,tiempo_armado_grafo,tiempo_greedy,distancia_camino_greedy,tiempo_busqueda,Distancia,cant_mejoras,tiempo_swap,vecinos_prom
1,1,2,0,1,4,27609.000000,3122.000000,9.486833,7442.000000,9.486833,0,166.000000,0
1,1,2,0,1,4,27609.000000,2879.000000,9.486833,7223.000000,9.486833,0,161.000000,0
1,1,2,0,1,4,27609.000000,2842.000000,9.486833,7399.000000,9.486833,0,167.000000,0
1,1,2,0,1,4,27609.000000,2830.000000,9.486833,7463.000000,9.486833,0,176.000000,0
1,1,2,0,1,4,27609.000000,2973.000000,9.486833,7501.000000,9.486833,0,169.000000,0
1,1,2,0,1,4,27609.000000,2881.000000,9.486833,7477.000000,9.486833,0,168.000000,0
1,0,2,0,1,4,27687.000000,10192.000000,16.015340,23187.000000,16.015340,0,607.000000,0
1,0,2,0,1,4,27687.000000,7805.000000,16.015340,17569.000000,16.015340,0,443.000000,0
1,0,2,0,1,4,27687.000000,6710.000000,16.015340,16793.000000,16.015340,0,368.000000,0
1,0,2,0,1,4,27687.000000,6625.000000,16.015340,16561.000000,16.015340,0,355.000000,0
1,0,2,0,1,4,27687.000000,6392.000000,16.015340,16532.000000,16.015340,0,354.000000,0
1,0,2,0,1,4,27687.000000,6419.000000,16.015340,7803.000000,16.015340,0,219.000000,0
1,0,2,0,1,4,27687.000000,6397.000000,16.015340,16381.000000,16.015340,0,366.000000,0
1,0,2,0,1,4,27687.000000,6384.000000,16.015340,16364.000000,16.015340,0,349.000000,0
1,0,2,0,1,4,27687.000000,6439.000000,16.015340,16394.000000,16.015340,0,346.000000,0
1,0,2,0,1,4,27687.000000,6146.000000,16.015340,16479.000000,16.015340,0,346.000000,0
1,1,2,0,1,4,27824.000000,9394.000000,16.015340,23277.000000,16.015340,0,634.000000,0
1,1,2,0,1,4,27824.000000,7120.000000,16.015340,17443.000000,16.015340,0,448.000000,0
1,1,2,0,1,4,27824.000000,6374.000000,16.015340,16412.000000,16.015340,0,408.000000,0
1,1,2,0,1,4,27824.000000,10412.000000,16.015340,15988.000000,16.015340,0,358.000000,0
1,1,2,0,1,4,27824.000000,5921.000000,16.015340,15917.000000,16.015340,0,328.000000,0
1,1,2,0,1,4,27824.000000,5828.000000,16.015340,21362.000000,16.015340,0,323.000000,0
1,1,2,0,1,4,27824.000000,2565.000000,16.015340,15740.000000,16.015340,0,335.000000,0
1,1,2,0,1,4,27824.000000,2607.000000,16.015340,6894.000000,16.015340,0,140.000000,0
1,1,2,0,1,4,27824.000000,2537.000000,16.015340,15618.000000,16.015340,0,311.000000,0
1,1,2,0,1,4,27824.000000,5730.000000,16.015340,15507.000000,16.015340,0,316.000000,0
1,0,2,0,1,4,17135.000000,5927.000000,12.123106,14293.000000,12.123106,0,363.000000,0
1,0,2,0,1,4,17135.000000,4617.000000,12.123106,10045.000000,12.123106,0,254.000000,0
1,0,2,0,1,4,17135.000000,3845.000000,12.123106,9255.000000,12.123106,0,207.000000,0
1,0,2,0,1,4,17135.000000,3726.000000,12.123106,9221.000000,12.123106,0,184.000000,0
1,0,2,0,1,4,17135.000000,3754.000000,12.123106,9458.000000,12.123106,0,224.000000,0
1,0,2,0,1,4,17135.000000,4067.000000,12.123106,9432.000000,12.123106,0,182.000000,0
1,0,2,0,1,4,17135.000000,3763.000000,12.123106,13857.000000,12.123106,0,285.000000,0
1,0,2,0,1,4,17135.000000,5503.000000,12.123106,13896.000000,12.123106,0,296.000000,0
1,0,2,0,1,4,17135.000000,5704.000000,12.123106,13774.000000,12.123106,0,288.000000,0
1,0,2,0,1,4,17135.000000,5744.000000,12.123106,14036.000000,12.123106,0,282.000000,0
1,1,2,0,1,4,25209.000000,8180.000000,12.123106,19782.000000,12.123106,0,529.000000,0
1,1,2,0,1,4,25209.000000,6456.000000,12.123106,15385.000000,12.123106,0,445.000000,0
1,1,2,0,1,4,25209.000000,5713.000000,12.123106,14463.000000,12.123106,0,291.000000,0
1,1,2,0,1,4,25209.000000,5472.000000,12.123106,14091.000000,12.123106,0,282.000000,0
1,1,2,0,1,4,25209.000000,5494.000000,12.123106,14151.000000,12.123106,0,274.000000,0
1,1,2,0,1,4,25209.000000,5703.000000,12.123106,13970.000000,12.123106,0,289.000000,0
1,1,2,0,1,4,25209.000000,5633.000000,12.123106,14046.000000,12.123106,0,297.000000,0
1,1,2,0,1,4,25209.000000,5109.000000,12.123106,11754.000000,12.123106,0,243.000000,0
1,1,2,0,1,4,25209.000000,4632.000000,12.123106,11459.000000,12.123106,0,230.000000,0
1,1,2,0,1,4,25209.000000,4588.000000,12.123106,11503.000000,12.123106,0,242.000000,0
1,0,3,1,2,4,37170.000000,18663.000000,15.631691,21793.000000,15.631691,0,1588.000000,1
1,0,3,1,2,4,37170.000000,7096.000000,15.631691,17080.000000,15.631691,0,1341.000000,1
1,0,3,1,2,4,37170.000000,6458.000000,15.631691,15894.000000,15.631691,0,1240.000000,1
1,0,3,1,2,4,37170.000000,5991.000000,15.631691,15578.000000,15.631691,0,1240.000000,1
1,0,3,1,2,4,37170.000000,5845.000000,15.631691,15257.000000,15.631691,0,1110.000000,1
1,0,3,1,2,4,37170.000000,5866.000000,15.631691,15099.000000,15.631691,0,1131.000000,1
1,0,3,1,2,4,37170.000000,5591.000000,15.631691,15188.000000,15.631691,0,1080.000000,1
1,0,3,1,2,4,37170.000000,5722.000000,15.631691,15246.000000,15.631691,0,1124.000000,1
1,0,3,1,2,4,37170.000000,5662.000000,15.631691,15079.000000,15.631691,0,1137.000000,1
1,0,3,1,2,4,37170.000000,5774.000000,15.631691,15124.000000,15.631691,0,1078.000000,1
1,1,3,1,2,4,36569.000000,12237.000000,15.631691,32680.000000,15.138088,1,3510.000000,2
1,1,3,1,2,4,36569.000000,10285.000000,15.631691,25387.000000,15.138088,1,2881.000000,2
1,1,3,1,2,4,36569.000000,9323.000000,15.631691,23534.000000,15.138088,1,2639.000000,2
1,1,3,1,2,4,36569.000000,8478.000000,15.631691,23399.000000,15.138088,1,2758.000000,2
1,1,3,1,2,4,36569.000000,8458.000000,15.631691,23255.000000,15.138088,1,2736.000000,2
1,1,3,1,2,4,36569.000000,8434.000000,15.631691,23076.000000,15.138088,1,2714.000000,2
1,1,3,1,2,4,36569.000000,8426.000000,15.631691,22949.000000,15.138088,1,2611.000000,2
1,1,3,1,2,4,36569.000000,8291.000000,15.631691,23204.000000,15.138088,1,2769.000000,2
1,1,3,1,2,4,36569.000000,8213.000000,15.631691,22791.000000,15.138088,1,2624.000000,2
1,1,3,1,2,4,36569.000000,8185.000000,15.631691,22828.000000,15.138088,1,2660.000000,2
1,0,3,1,2,4,37257.000000,12527.000000,27.749261,31472.000000,27.749261,0,2327.000000,1
1,0,3,1,2,4,37257.000000,10456.000000,27.749261,24750.000000,27.749261,0,1859.000000,1
1,0,3,1,2,4,37257.000000,9321.000000,27.749261,22826.000000,27.749261,0,1636.000000,1
1,0,3,1,2,4,37257.000000,9361.000000,27.749261,12993.000000,27.749261,0,946.000000,1
1,0,3,1,2,4,37257.000000,5160.000000,27.749261,12268.000000,27.749261,0,848.000000,1
1,0,3,1,2,4,37257.000000,4877.000000,27.749261,12066.000000,27.749261,0,854.000000,1
1,0,3,1,2,4,37257.000000,4691.000000,27.749261,11999.000000,27.749261,0,851.000000,1
1,0,3,1,2,4,37257.000000,4676.000000,27.749261,12116.000000,27.749261,0,897.000000,1
1,0,3,1,2,4,37257.000000,4989.000000,27.749261,13367.000000,27.749261,0,869.000000,1
1,0,3,1,2,4,37257.000000,4808.000000,27.749261,11836.000000,27.749261,0,846.000000,1
1,1,3,1,2,4,32999.000000,11006.000000,27.749261,26557.000000,27.749261,0,2103.000000,1
1,1,3,1,2,4,32999.000000,9249.000000,27.749261,20894.000000,27.749261,0,1746.000000,1
